Diện tích,Mức giá,Số phòng ngủ,Số toilet,Pháp lý,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Đường vào,Số tầng,Nội thất,Hướng nhà,Hướng ban công
"76,6 m²",130 triệu/m²,2 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ Residence,"Tây Hồ Residence, 158, Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",03/05/2024,,,,"Bàn giao cao cấp: Hệ thống tủ bếp điều hòa âm trần tất cả các phòng, thiết bị vệ sinh ToTo, bồn tắm, sàn gỗ, chuông hình,..",,Đông - Nam
86 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Matrix One,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",07/05/2024,,,,Đầy đủ,,
30 m²,"1,35 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường 1,"Đường 1, Phường Yên Nghĩa, Hà Đông, Hà Nội",04/05/2024,"3,5 m",3 m,2 tầng,Cơ bản,Nam,Nam
"107,2 m²",110 triệu/m²,,,,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ Residence,"Tây Hồ Residence, 158, Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",03/05/2024,,,,"Bàn giao cao cấp: Hệ thống tủ bếp điều hòa âm trần tất cả các phòng, thiết bị vệ sinh ToTo, bồn tắm, sàn gỗ, chuông hình,..",,Nam
80 m²,Thỏa thuận,5 phòng,,,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Quốc Hoàn,"Phố Trần Quốc Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",05/05/2024,6 m,,,,,
116 m²,"31,5 tỷ",9 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại đường Võng Thị,"đường Võng Thị, Phường Bưởi, Tây Hồ, Hà Nội",07/05/2024,7 m,11 m,7 tầng,Đầy đủ,,
"107,2 m²",130 triệu/m²,3 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ Residence,"Tây Hồ Residence, 158, Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",03/05/2024,,,,Cơ bản,,Đông
83 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại An Bình Plaza,"Dự án An Bình Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
"86,2 m²","5,9 tỷ",3 phòng,2 phòng,Đang chờ sổ,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ Residence,"Tây Hồ Residence, 158, Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",03/05/2024,,,,Đầy đủ,,
83 m²,Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại An Bình Plaza,"Dự án An Bình Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,Tây - Bắc,Đông - Nam
"86,2 m²","5,9 tỷ",3 phòng,2 phòng,Đang chờ sổ,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ Residence,"Tây Hồ Residence, 158, Đường Võ Chí Công, Phường Xuân La, Tây Hồ, Hà Nội",03/05/2024,,,,Đầy đủ,,
70 m²,"2,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",03/05/2024,,,,Đầy đủ,,
58 m²,"7,5 tỷ",5 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Nhà riêng tại phường Phú Thượng,"Phường Phú Thượng, Tây Hồ, Hà Nội",07/05/2024,5 m,,5 tầng,Đầy đủ,,
104 m²,"4,25 tỷ",6 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Nhà riêng tại đường Kiêu Kỵ,"Đường Kiêu Kỵ, Xã Kiêu Kỵ, Gia Lâm, Hà Nội",03/05/2024,,3 m,1 tầng,,,
66 m²,"2,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Căn hộ chung cư tại Thăng Long Victory,"Dự án Thăng Long Victory, Xã An Khánh, Hoài Đức, Hà Nội",07/05/2024,,,,Đầy đủ.,Nam,Bắc
127 m²,"7,6 tỷ",3 phòng,2 phòng,,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Bamboo Airways Tower,"Bamboo Airways Tower, 265, Đường Cầu Giấy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",07/05/2024,,,,,,
95 m²,"6,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại Sunshine Riverside,"Dự án Sunshine Riverside, Phường Phú Thượng, Tây Hồ, Hà Nội",07/05/2024,,,,Đầy đủ,,
284 m²,"12,1 tỷ",4 phòng,4 phòng,Sổ đỏ chính chủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại đường Kim Giang,"Đường Kim Giang, Phường Kim Giang, Thanh Xuân, Hà Nội",07/05/2024,,,,,,
"45,2 m²","3,25 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Trì,Nhà riêng tại xã Tả Thanh Oai,"Xã Tả Thanh Oai, Thanh Trì, Hà Nội",07/05/2024,,,,,,
108 m²,6 tỷ,3 phòng,2 phòng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Sunshine Center,"Sunshine Center, 18, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ nội thất.,,
73 m²,"3,3 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Eco City Việt Hưng,"Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội",03/05/2024,,,,"Đầy đủ Căn hộ được bàn giao full nội thất liền tường. - Thiết bị vệ sinh ToTo, vách tắm đứng, tủ gỗ Lavabo. - Điều hòa 2 chiều Mitsubishi. - Tủ bếp trên + dưới, bếp từ, hút mùi Hafele. - Hệ thống cửa.",,
35 m²,"3,5 tỷ",4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại đường Quang Trung,"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",07/05/2024,"3,3 m","2,2 m",4 tầng,Đầy đủ,,
48 m²,"1,64 tỷ",1 phòng,1 phòng,Hợp đồng mua bán,Hà Nội,Hoàng Mai,Căn hộ chung cư tại HH2 Linh Đàm,"Dự án HH2 Linh Đàm, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",07/05/2024,,,,Đầy đủ.,Đông - Nam,Tây - Nam
"34,4 m²","3,7 tỷ",4 phòng,,,Hà Nội,Hà Đông,Nhà riêng tại đường Quang Trung,"Đường Quang Trung, Phường Yên Nghĩa, Hà Đông, Hà Nội",28/04/2024,,5 m,4 tầng,,,
120 m²,"6,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại HC Golden City,"Dự án HC Golden City, Phố Hồng Tiến, Phường Bồ Đề, Long Biên, Hà Nội",03/05/2024,,,,"Đầy đủ - Chuông báo khách màn hình Panasonic, đón khách từ sảnh lễ tân đảm bảo an ninh tối đa cho quý khách. - Cửa ban công, cửa sổ: Làm bằng kính hộp cường lực lowe. Kính 2 lớp chống ồn và tia uv. -.",,
45 m²,"7,7 tỷ",5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại đường Vũ Trọng Phụng,"Đường Vũ Trọng Phụng, Phường Nhân Chính, Thanh Xuân, Hà Nội",07/05/2024,5 m,3 m,5 tầng,Đầy đủ,,
31 m²,"3,1 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Nhà riêng tại đường 32,"Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",02/05/2024,,,4 tầng,,,
50 m²,"8,68 tỷ",10 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại đường Ô Chợ Dừa,"Đường Ô Chợ Dừa, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",07/05/2024,"4,6 m","2,8 m",6 tầng,Đầy đủ,Tây - Bắc,Tây - Bắc
85 m²,27 tỷ,6 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Giáp Nhất,"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",07/05/2024,"4,5 m",18 m,5 tầng,Đầy đủ,,
31 m²,"3,1 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Nhà riêng tại đường 32,"Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",02/05/2024,,,4 tầng,,,
50 m²,"8,68 tỷ",10 phòng,10 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại đường Ô Chợ Dừa,"Đường Ô Chợ Dừa, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",07/05/2024,"4,6 m","2,8 m",6 tầng,Đầy đủ,Tây - Bắc,Tây - Bắc
85 m²,27 tỷ,6 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Giáp Nhất,"Đường Giáp Nhất, Phường Nhân Chính, Thanh Xuân, Hà Nội",07/05/2024,"4,5 m",18 m,5 tầng,Đầy đủ,,
32 m²,"3,9 tỷ",3 phòng,4 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đại Mỗ,"Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.",03/05/2024,"3,3 m",2 m,5 tầng,,Đông - Nam,Đông - Nam
73 m²,"2,8 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Eco City Việt Hưng,"Dự án Eco City Việt Hưng, Phường Giang Biên, Long Biên, Hà Nội",02/05/2024,,,,"Đầy đủ bàn giao full nội thất cao cấp: Sàn gỗ 12mm nhập khẩu Đức, điều hòa 2 chiều Mitsubishi, Tủ bếp trên dưới, Thiết bị bếp Hafele, vệ sinh Toto, trần thạch cao giật cấp, đèn downlight chiếu sáng ca",,Tây - Bắc
66 m²,Thỏa thuận,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Trì,Căn hộ chung cư tại Chung cư Đại Thanh,"Dự án Chung cư Đại Thanh, Huyện Thanh Trì, Hà Nội",07/05/2024,,,,Đầy đủ,,
85 m²,"4,1 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Le Grand Jardin Sài Đồng,"Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",02/05/2024,,,,Đầy đủ,,
45 m²,"5,98 tỷ",,,,Hà Nội,Đống Đa,Nhà riêng tại phố Pháo Đài Láng,"Phố Pháo Đài Láng, Phường Láng Thượng, Đống Đa, Hà Nội",05/05/2024,,,5 tầng,,,
110 m²,"4,5 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Long Biên,Căn hộ chung cư tại Le Grand Jardin Sài Đồng,"Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",07/05/2024,,,,Đầy đủ,,
40 m²,"6,75 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hà Đông,Nhà riêng tại phố Vạn Phúc,"Phố Vạn Phúc, Phường Vạn Phúc, Hà Đông, Hà Nội",05/05/2024,5 m,5 m,4 tầng,Đầy đủ,,
40 m²,5 tỷ,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phường Láng Hạ,"Phường Láng Hạ, Đống Đa, Hà Nội",06/05/2024,,,4 tầng,,,
139 m²,59 triệu/m²,,,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại N01-T1 Ngoại Giao Đoàn,"Dự án N01-T1 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,,
110 m²,18 tỷ,18 phòng,,,Hà Nội,Cầu Giấy,Nhà riêng tại phường Quan Hoa,"Phường Quan Hoa, Cầu Giấy, Hà Nội",06/05/2024,6 m,,6 tầng,,,
55 m²,"15,5 tỷ",4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Lê Văn Thiêm,"Phố Lê Văn Thiêm, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",07/05/2024,"4,3 m",,4 tầng,Đầy đủ,,
115 m²,6 tỷ,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Căn hộ chung cư tại C3 Tower - Golden Palace,"Dự án C3 Lê Văn Lương (Golden Palace), Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",07/05/2024,,,,Đầy đủ,,
110 m²,"4,5 tỷ",3 phòng,2 phòng,Sổ đỏ lâu dài.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinaconex 7,"Dự án Vinaconex 7 - 34 Cầu Diễn, Đường Nguyễn Văn Giáp, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.",07/05/2024,,,,"- Nhà mới sửa lại mới tinh, nội thất như ảnh. - Nhà mới sửa lại mới tinh, nội thất như ảnh.",,
67 m²,"2,19 tỷ",2 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Hoàng Mai,Căn hộ chung cư tại HH2 Linh Đàm,"Dự án HH2 Linh Đàm, Quận Hoàng Mai, Hà Nội",07/05/2024,,,,Đầy đủ,,
50 m²,"10,6 tỷ",,,Sổ đỏ,Hà Nội,Hoàng Mai,Nhà riêng tại đường Bùi Xương Trạch,"Đường Bùi Xương Trạch, Phường Định Công, Hoàng Mai, Hà Nội",06/05/2024,"4,5 m",20 m,4 tầng,Nội thất cao cấp.,,
146 m²,"7,9 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại Toà nhà 249A Thụy Khuê,"Dự án 249A Thụy Khuê, Đường Thụy Khuê, Phường Thụy Khuê, Tây Hồ, Hà Nội",07/05/2024,,,,Đầy đủ,Đông - Nam,Tây - Bắc
57 m²,"14,5 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Kim Ngưu,"126 Đường Kim Ngưu, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",30/04/2024,"4,3 m",4 m,6 tầng,Đầy đủ,Tây - Nam,Tây - Nam
57 m²,"14,5 tỷ",6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Kim Ngưu,"126 Đường Kim Ngưu, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",30/04/2024,"4,3 m",4 m,6 tầng,Đầy đủ,Tây - Nam,Tây - Nam
"83,5 m²","7,6 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Watermark,"Watermark Tây Hồ, 395, Đường Lạc Long Quân, Phường Nghĩa Đô, Cầu Giấy, Hà Nội",07/05/2024,,,,Đầy đủ,Nam,Bắc
65 m²,"12,8 tỷ",12 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Đống Đa,Nhà riêng tại phố Hoàng Cầu,"Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",07/05/2024,"7,5 m",3 m,7 tầng,Đầy đủ,Nam,Nam
132 m²,"9,2 tỷ",,,Sổ đỏ/ Sổ hồng,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại N01-T1 Ngoại Giao Đoàn,"Dự án N01 - T1 Ngoại Giao Đoàn, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội.",02/05/2024,,,,Đầy đủ,,
107 m²,"6,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại Ecolife Tây Hồ,"Dự án Ecolife Tây Hồ, Đường Nguyễn Văn Huyên, Phường Xuân La, Tây Hồ, Hà Nội",02/05/2024,,,,Đầy đủ,,
90 m²,"35,5 triệu/m²",3 phòng,2 phòng,,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư CT4 Yên Nghĩa,"Dự án Chung cư CT4 Yên Nghĩa, Phường Yên Nghĩa, Hà Đông, Hà Nội",06/05/2024,,,,Cơ bản,Tây - Nam,Đông - Nam
34 m²,"2,95 tỷ",3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hoài Đức,Nhà riêng tại đường La Phù,"Đường La Phù, Xã La Phù, Hoài Đức, Hà Nội",07/05/2024,"3,85 m",,3 tầng,Đầy đủ,,
70 m²,"3,75 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Garden Hills - 99 Trần Bình,"Dự án The Garden Hills - 99 Trần Bình, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Đầy đủ,Đông - Bắc,Tây - Nam
95 m²,"5,7 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại A10-A14 Nam Trung Yên,"Dự án A10-A14 Nam Trung Yên, Phường Yên Hòa, Cầu Giấy, Hà Nội",06/05/2024,,,,Đầy đủ,Đông - Bắc,Đông - Nam
78 m²,"12,58 tỷ",4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Nhà riêng tại đường Cầu Giấy,"Đường Cầu Giấy, Phường Yên Hòa, Cầu Giấy, Hà Nội",07/05/2024,"6,7 m",,5 tầng,Cơ bản,,
85 m²,27 tỷ,6 phòng,13 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Giáp Nhất,"Đường Giáp Nhất, Phường Thượng Đình, Thanh Xuân, Hà Nội",07/05/2024,"4,5 m",18 m,5 tầng,Đầy đủ,,
80 m²,"35,5 tỷ",,,Sổ đỏ chính chủ.,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Nguyễn Khang,"Đường Nguyễn Khang, Phường Yên Hòa, Cầu Giấy, Hà Nội",06/05/2024,6 m,30 m,8 tầng,,,
"61,39 m²",Thỏa thuận,2 phòng,2 phòng,Hợp đồng mua bán,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",07/05/2024,,,,Cơ bản,Tây - Bắc,Đông - Nam
"70,5 m²","5,5 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Tây Hồ,Căn hộ chung cư tại Tây Hồ Residence,"Dự án Tây Hồ Residence, Phường Xuân La, Tây Hồ, Hà Nội",06/05/2024,,,,Đầy đủ,,
113 m²,"4,3 tỷ",3 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại T&T Riverview,"Dự án T&T Riverview, Đường Vĩnh Hưng, Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",01/05/2024,,,,Đầy đủ.,,
62 m²,"6,95 tỷ",6 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Quan Nhân,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,,,5 tầng,Đầy đủ,,
47 m²,"1,7 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường 5, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,,Đầy đủ.,,
"90,5 m²",Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vinhomes D'Capitale,"Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",07/05/2024,,,,Đầy đủ,Đông - Bắc,Đông - Nam
70 m²,"2,45 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường 5, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,,Đầy đủ,,
50 m²,"17,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phố Chùa Quỳnh,"Phố Chùa Quỳnh, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",07/05/2024,4 m,10 m,6 tầng,Đầy đủ,,
62 m²,"6,95 tỷ",6 phòng,,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Xuân,Nhà riêng tại phố Quan Nhân,"Phố Quan Nhân, Phường Nhân Chính, Thanh Xuân, Hà Nội",06/05/2024,,,5 tầng,Đầy đủ,,
47 m²,"1,7 tỷ",1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường 5, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,,Đầy đủ.,,
"90,5 m²",Thỏa thuận,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vinhomes D'Capitale,"Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",07/05/2024,,,,Đầy đủ,Đông - Bắc,Đông - Nam
70 m²,"2,45 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường 5, Xã Dương Xá, Gia Lâm, Hà Nội",06/05/2024,,,,Đầy đủ,,
50 m²,"17,5 tỷ",6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Hai Bà Trưng,Nhà mặt phố tại phố Chùa Quỳnh,"Phố Chùa Quỳnh, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội",07/05/2024,4 m,10 m,6 tầng,Đầy đủ,,
56 m²,"1,8 tỷ",2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Hà Nội,Thanh Trì,Căn hộ chung cư tại Chung cư Đại Thanh,"Dự án Chung cư Đại Thanh, Huyện Thanh Trì, Hà Nội",07/05/2024,,,,Đầy đủ,,
