Diện tích,Mức giá,Mặt tiền,Đường vào,Hướng nhà,Hướng ban công,Số tầng,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng
42 m²,"2,9 tỷ",4 m,3 m,,,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Trì,Nhà riêng tại phố Vĩnh Ninh,"Phố Vĩnh Ninh, Xã Vĩnh Quỳnh, Thanh Trì, Hà Nội",04/05/2024
150 m²,"9,3 tỷ",,,Tây - Bắc,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Golden Land,"Golden Land, 275, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",04/05/2024
60 m²,33 tỷ,,,,,6 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà mặt phố tại đường Nguyễn Văn Lộc,"Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội",04/05/2024
54 m²,"8,5 tỷ",,,,,5 tầng,5 phòng,4 phòng,Sổ đỏ.,,Hà Nội,Long Biên,Nhà riêng tại phố Sài Đồng,"Phố Sài Đồng, Phường Sài Đồng, Long Biên, Hà Nội",04/05/2024
85 m²,Thỏa thuận,,,,,,,,Hợp đồng mua bán,,Hà Nội,Tây Hồ,Căn hộ chung cư tại D’. El Dorado,"Dự án D’. El Dorado, đường Nguyễn Hoàng Tôn, Phường Phú Thượng, Tây Hồ, Hà Nội",04/05/2024
36 m²,4 tỷ,4 m,2 m,Tây - Bắc,,4 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyễn Như Đổ,"Đường Nguyễn Như Đổ, Phường Văn Miếu, Đống Đa, Hà Nội",04/05/2024
62 m²,Thỏa thuận,,,Tây - Bắc,Đông - Nam,,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Lumi Hanoi,"Dự án Lumi Hanoi, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",04/05/2024
36 m²,4 tỷ,4 m,2 m,Tây - Bắc,,4 tầng,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyễn Như Đổ,"Đường Nguyễn Như Đổ, Phường Văn Miếu, Đống Đa, Hà Nội",04/05/2024
62 m²,Thỏa thuận,,,Tây - Bắc,Đông - Nam,,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Lumi Hanoi,"Dự án Lumi Hanoi, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",04/05/2024
106 m²,"63,5 tỷ",,,,,7 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Mạc Thái Tông,"Đường Mạc Thái Tông, Phường Trung Hòa, Cầu Giấy, Hà Nội",04/05/2024
40 m²,16 tỷ,4 m,,,,7 tầng,4 phòng,,Sổ đỏ,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại phố Linh Lang,"Phố Linh Lang, Phường Cống Vị, Ba Đình, Hà Nội",02/05/2024
42 m²,"6,38 tỷ",,,,,5 tầng,3 phòng,4 phòng,Sổ đỏ.,,Hà Nội,Long Biên,Nhà riêng tại đường Ngọc Lâm,"Đường Ngọc Lâm, Phường Ngọc Lâm, Long Biên, Hà Nội",04/05/2024
42 m²,Thỏa thuận,4 m,"4,5 m",,,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại đường Chu Huy Mân,"Đường Chu Huy Mân, Phường Phúc Đồng, Long Biên, Hà Nội",04/05/2024
50 m²,"11,9 tỷ",5 m,,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Nhà riêng tại đường Lạc Long Quân,"Đường Lạc Long Quân, Phường Bưởi, Tây Hồ, Hà Nội",04/05/2024
46 m²,"9,25 tỷ","3,2 m",12 m,,,5 tầng,5 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đồng Me,"Đường Đồng Me, Phường Mễ Trì, Nam Từ Liêm, Hà Nội.",04/05/2024
104 m²,78 triệu/m²,,,Tây,Đông,,3 phòng,2 phòng,Hợp đồng mua bán,,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Chung cư Han Jardin,"Dự án Chung cư Han Jardin, Đường Nguyễn Văn Huyên, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",04/05/2024
38 m²,"2,25 tỷ",,,,,5 tầng,6 phòng,,,,Hà Nội,Thanh Trì,Nhà riêng tại đường Cầu Tó,"Đường Cầu Tó, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",03/05/2024
1.200 m²,123 tỷ,,,,,13 tầng,,,,,Hà Nội,Thanh Xuân,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",29/04/2024
45 m²,"12,8 tỷ","4,5 m",3 m,,,5 tầng,3 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà riêng tại đường Quán Thánh,"Đường Quán Thánh, Phường Quán Thánh, Ba Đình, Hà Nội",04/05/2024
48 m²,"12,8 tỷ",4 m,8 m,,,7 tầng,7 phòng,7 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại phố Thái Hà,"Ngõ 3, Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội",04/05/2024
82 m²,"16,8 tỷ","6,9 m",5 m,,,9 tầng,9 phòng,10 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại phường Thổ Quan,"Phường Thổ Quan, Đống Đa, Hà Nội",04/05/2024
50 m²,"12,3 tỷ","5,5 m",,,,4 tầng,4 phòng,4 phòng,Sổ đẹp,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Dương Quảng Hàm,"Đường Dương Quảng Hàm, Phường Quan Hoa, Cầu Giấy, Hà Nội",04/05/2024
50 m²,11 tỷ,,,,,4 tầng,4 phòng,,Sổ đỏ/ Sổ hồng.,,Hà Nội,Hoàng Mai,Nhà riêng tại đường Tân Mai,"Đường Tân Mai, Phường Tân Mai, Hoàng Mai, Hà Nội",04/05/2024
36 m²,"3,9 tỷ","4,8 m",,,,5 tầng,,,Sổ đỏ,,Hà Nội,Hoài Đức,Nhà riêng tại xã La Phù,"Xã La Phù, Hoài Đức, Hà Nội",04/05/2024
60 m²,Thỏa thuận,,,Đông - Bắc,Tây - Nam,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại FLC Star Tower,"Dự án FLC Star Tower, Đường Quang Trung, Phường Quang Trung, Hà Đông, Hà Nội",04/05/2024
56 m²,Thỏa thuận,,,Tây - Bắc,Đông - Nam,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Căn hộ chung cư tại Park View Residence Dương Nội,"Dự án Park View Residence Dương Nội, Đường Tố Hữu, Phường Dương Nội, Hà Đông, Hà Nội",04/05/2024
50 m²,"6,5 tỷ",,3 m,,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Xuân Đỉnh,"Ngõ 207, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",04/05/2024
50 m²,"6,5 tỷ",,3 m,,,5 tầng,6 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Xuân Đỉnh,"Ngõ 207, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",04/05/2024
51 m²,"8,3 tỷ",4 m,5 m,Nam,Nam,4 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Nhà riêng tại đường An Dương Vương,"Ngõ 173, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",04/05/2024
82 m²,26 tỷ,4 m,5 m,,,4 tầng,4 phòng,4 phòng,Sổ đỏ,Đầy đủ,Hà Nội,Ba Đình,Nhà mặt phố tại phố Kim Mã Thượng,"Phố Kim Mã Thượng, Phường Cống Vị, Ba Đình, Hà Nội",04/05/2024
120 m²,28 tỷ,,,,,5 tầng,,,Sổ đỏ/ Sổ hồng.,,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Kim Đồng,"Đường Kim Đồng, Phường Giáp Bát, Hoàng Mai, Hà Nội",04/05/2024
35 m²,"4,8 tỷ",,,,,5 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Xuân Đỉnh,"Ngõ 207, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",02/05/2024
170 m²,36 tỷ,9 m,,,,2 tầng,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại phố Xã Đàn,"Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội",04/05/2024
45 m²,9 tỷ,5 m,,,,7 tầng,8 phòng,16 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại đường Trần Phú,"Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội",04/05/2024
53 m²,"12,5 tỷ",4 m,20 m,Đông,,5 tầng,4 phòng,5 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hà Đông,Nhà mặt phố tại đường Đa Sỹ,"Đường Đa Sỹ, Phường Kiến Hưng, Hà Đông, Hà Nội",29/04/2024
60 m²,"11,5 tỷ","4,8 m",,,,7 tầng,10 phòng,11 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Xuân Đỉnh,"Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",04/05/2024
50 m²,"9,9 tỷ",4 m,,,,7 tầng,10 phòng,11 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại phố Láng Hạ,"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",04/05/2024
91 m²,"4,9 tỷ",,,,,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Richland Southern,"Dự án Richland Southern, Đường Xuân Thủy, Phường Dịch Vọng, Cầu Giấy, Hà Nội",04/05/2024
37 m²,"3,5 tỷ",,,,,4 tầng,4 phòng,,Sổ đỏ,Cơ bản,Hà Nội,Hoài Đức,Nhà riêng tại đường Yên Vĩnh,"Đường Yên Vĩnh, Xã Kim Chung, Hoài Đức, Hà Nội",01/05/2024
78 m²,"14,5 tỷ","3,8 m",,,,4 tầng,,,Sổ đỏ/ Sổ hồng,,Hà Nội,Hoàng Mai,Nhà mặt phố tại đường Giải Phóng,"Đường Giải Phóng, Phường Giáp Bát, Hoàng Mai, Hà Nội",04/05/2024
