Diện tích,Mức giá,Mặt tiền,Đường vào,Số tầng,Số phòng ngủ,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Số toilet,Hướng nhà,Hướng ban công
33 m²,"3,75 tỷ","4,3 m",2 m,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Long Biên,Nhà riêng tại đường Nguyễn Văn Linh,"Đường Nguyễn Văn Linh, Phường Thạch Bàn, Long Biên, Hà Nội",06/05/2024,4 phòng,,
32 m²,"3,7 tỷ","3,2 m","2,5 m",5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Tây Hồ,Nhà riêng tại đường An Dương Vương,"Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",06/05/2024,4 phòng,Đông - Nam,
38 m²,"4,5 tỷ",,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Cầu Diễn,"Đường Cầu Diễn, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",02/05/2024,,,
35 m²,"5,5 tỷ","4,5 m",,5 tầng,3 phòng,Sổ đỏ,Nội thất toàn gỗ xịn.,Hà Nội,Tây Hồ,Nhà riêng tại đường An Dương Vương,"Ngõ 353, Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",06/05/2024,4 phòng,,
190 m²,"38,3 tỷ","7,1 m",7 m,2 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Nhà riêng tại đường An Dương,"Đường An Dương, Phường Yên Phụ, Tây Hồ, Hà Nội",03/05/2024,,,
94 m²,"13,86 tỷ",,,6 tầng,6 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Nguyễn Đình Hoàn,"Đường Nguyễn Đình Hoàn, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,5 phòng,,
70 m²,"14,8 tỷ",3 m,6 m,6 tầng,11 phòng,Sổ đỏ/ Sổ hồng,Nội thất cao cấp.,Hà Nội,Thanh Xuân,Nhà riêng tại đường Lê Trọng Tấn,"Đường Lê Trọng Tấn, Phường Khương Mai, Thanh Xuân, Hà Nội",06/05/2024,12 phòng,,
56 m²,"27,2 tỷ","5,5 m",6 m,8 tầng,6 phòng,,,Hà Nội,Cầu Giấy,Nhà riêng tại đường Nguyễn Chánh,"Đường Nguyễn Chánh, Phường Yên Hòa, Cầu Giấy, Hà Nội",06/05/2024,7 phòng,Bắc,Nam
34 m²,"5,2 tỷ","3,5 m",,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Mỹ Đình,"đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội",06/05/2024,4 phòng,,
30 m²,"4,35 tỷ",,,5 tầng,,,,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Minh Khai,"Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",06/05/2024,,,
34 m²,"4,15 tỷ","4,2 m",,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Hoàng Mai,Nhà riêng tại phường Vĩnh Hưng,"Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",02/05/2024,3 phòng,,
34 m²,"4,15 tỷ","4,2 m",,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng.,,Hà Nội,Hoàng Mai,Nhà riêng tại phường Vĩnh Hưng,"Phường Vĩnh Hưng, Hoàng Mai, Hà Nội",02/05/2024,3 phòng,,
"54,5 m²","2,03 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",04/05/2024,1 phòng,Đông - Bắc,Tây - Nam
"61,5 m²","2,65 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Hoàng Mai,Căn hộ chung cư tại VP5 Linh Đàm,"Dự án VP5 Linh Đàm, Đường Nguyễn Duy Trinh, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",02/05/2024,2 phòng,,
50 m²,"5,88 tỷ","4,5 m",3 m,5 tầng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Nhà riêng tại đường Trần Khát Chân,"Đường Trần Khát Chân, Phường Thanh Lương, Hai Bà Trưng, Hà Nội",06/05/2024,,,
151 m²,"39,9 tỷ","9,5 m",5 m,5 tầng,12 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Nam Từ Liêm,Nhà riêng tại đường Đình Thôn,"Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",05/05/2024,10 phòng,,
66 m²,"3,55 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Thăng Long Garden,"Dự án Thăng Long Garden 250 Minh Khai, Đường Minh Khai, Phường Minh Khai, Hai Bà Trưng, Hà Nội",04/05/2024,2 phòng,Tây,Đông
131 m²,"5,55 tỷ",,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại FLC Complex 36 Phạm Hùng,"Dự án FLC Complex Phạm Hùng, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,2 phòng,Nam,Đông
104 m²,"5,25 tỷ",,,,3 phòng,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Mỹ Đình Plaza 2,"Dự án Mỹ Đình Plaza 2, Số 2 Đường Nguyễn Hoàng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,2 phòng,,
75 m²,4 tỷ,,,,2 phòng,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Golden Field Mỹ Đình,"Dự án Golden Field Mỹ Đình, Thị trấn Cầu Diễn, Nam Từ Liêm, Hà Nội.",03/05/2024,2 phòng,,
182 m²,"10,5 tỷ",,,,4 phòng,Có sổ,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Dolphin Plaza,"Dolphin Plaza, 28, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",03/05/2024,3 phòng,,
70 m²,21 tỷ,7 m,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Ba Đình,Nhà riêng tại đường Điện Biên Phủ,"Đường Điện Biên Phủ, Phường Điện Biên, Ba Đình, Hà Nội",06/05/2024,7 phòng,,
46 m²,"5,3 tỷ",,,5 tầng,8 phòng,,,Hà Nội,Đống Đa,Nhà riêng tại đường Tôn Thất Tùng,"Đường Tôn Thất Tùng, Phường Khương Thượng, Đống Đa, Hà Nội",06/05/2024,2 phòng,,
59 m²,"4,15 tỷ",,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Long Biên,Nhà riêng tại đường Thạch Bàn,"Đường Thạch Bàn, Phường Thạch Bàn, Long Biên, Hà Nội",06/05/2024,4 phòng,,
33 m²,"5,6 tỷ",4 m,,6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Cầu vượt Mai Dịch,"Đường Cầu vượt Mai Dịch, Phường Mai Dịch, Cầu Giấy, Hà Nội",06/05/2024,5 phòng,,
112 m²,57 triệu/m²,,,,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Sun Square,"Dự án Sun Square, Đường Lê Đức Thọ, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",02/05/2024,2 phòng,Tây - Nam,Đông - Bắc
57 m²,"3,5 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Khu nhà ở kinh doanh Dịch Vọng,"Khu Nhà ở KD Dịch Vọng, 60, Phố Khúc Thừa Dụ, Phường Dịch Vọng, Cầu Giấy, Hà Nội",02/05/2024,1 phòng,Tây - Nam,Đông - Bắc
68 m²,"4,82 tỷ",,,,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại N04A Ngoại Giao Đoàn,"Dự án N04A Ngoại Giao Đoàn, Đường Nhật Tảo, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội",06/05/2024,2 phòng,Bắc,Nam
"94,3 m²",40 triệu/m²,,,,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại đường Tố Hữu,"Căn hộ Vinaconex 9B, Đường Tố Hữu, Phường Trung Văn, Nam Từ Liêm, Hà Nội",06/05/2024,2 phòng,Tây - Bắc,Đông - Nam
46 m²,"8,45 tỷ","4,5 m","2,5 m",6 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Cầu Giấy,Nhà riêng tại phố Trần Cung,"Phố Trần Cung, Phường Nghĩa Tân, Cầu Giấy, Hà Nội",06/05/2024,5 phòng,,
126 m²,25 tỷ,6 m,15 m,5 tầng,8 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",30/04/2024,5 phòng,,
126 m²,25 tỷ,6 m,15 m,5 tầng,8 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà mặt phố tại đường Hoàng Văn Thái,"Đường Hoàng Văn Thái, Phường Khương Trung, Thanh Xuân, Hà Nội",30/04/2024,5 phòng,,
48 m²,"7,9 tỷ",,,5 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hà Đông,Nhà riêng tại đường Ngô Thì Nhậm,"Đường Ngô Thì Nhậm, Phường La Khê, Hà Đông, Hà Nội",06/05/2024,4 phòng,,
32 m²,"5,48 tỷ","4,5 m",,5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Full nội thất.,Hà Nội,Long Biên,Nhà riêng tại đường Bồ Đề,"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",06/05/2024,4 phòng,,
35 m²,"6,5 tỷ",4 m,3 m,6 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Trường Chinh,"Đường Trường Chinh, Phường Khương Thượng, Đống Đa, Hà Nội",06/05/2024,3 phòng,,
60 m²,"7,5 tỷ",8 m,5 m,,,Sổ đỏ,,Hà Nội,Đống Đa,Nhà riêng tại đường Hồ Văn Chương,"Đường Hồ Văn Chương, Phường Văn Chương, Đống Đa, Hà Nội",04/05/2024,,Đông - Nam,Đông - Nam
42 m²,"4,95 tỷ",,,4 tầng,3 phòng,,,Hà Nội,Bắc Từ Liêm,Nhà riêng tại đường Thụy Phương,"Đường Thụy Phương, Phường Thụy Phương, Bắc Từ Liêm, Hà Nội",06/05/2024,4 phòng,,
41 m²,"7,5 tỷ","3,3 m",4 m,5 tầng,5 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thanh Xuân,Nhà riêng tại đường Nguyễn Trãi,"Ngõ 328, Đường Nguyễn Trãi, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội",06/05/2024,4 phòng,Đông - Nam,Đông - Nam
"39,5 m²","6,5 tỷ",3 m,,4 tầng,4 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Hai Bà Trưng,Nhà riêng tại phường Bạch Mai,"Phường Bạch Mai, Hai Bà Trưng, Hà Nội",06/05/2024,4 phòng,,
40 m²,"3,8 tỷ","3,5 m","2,4 m",4 tầng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản.,Hà Nội,Đống Đa,Nhà riêng tại phố Tôn Đức Thắng,"Ngõ Văn Chương, Phố Tôn Đức Thắng, Phường Văn Chương, Đống Đa, Hà Nội",06/05/2024,3 phòng,Đông - Nam,Đông - Nam
35 m²,"6,8 tỷ",,,5 tầng,,Sổ đỏ,,Hà Nội,Hoàn Kiếm,Nhà riêng tại đường Phan Chu Trinh,"Đường Phan Chu Trinh, Phường Phan Chu Trinh, Hoàn Kiếm, Hà Nội",06/05/2024,,,
48 m²,"12,78 tỷ",4 m,"4,5 m",5 tầng,3 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Đống Đa,Nhà riêng tại đường Nguyên Hồng,"Ngõ 47, Đường Nguyên Hồng, Phường Láng Hạ, Đống Đa, Hà Nội",06/05/2024,3 phòng,,
