Quận,Loại nhà,Diện tích (m²),Mức giá (tỷ),Số phòng ngủ,Số toilet,Loại Nhà (mã hóa),Quận (mã hóa),Khoảng giá,Mức giá (triệu/m²)
Long Biên,Căn hộ chung cư,89.0,4.0,2,2,0,10,1,44.943820224719104
Nam Từ Liêm,Căn hộ chung cư,43.0,2.7,1,1,0,12,1,62.7906976744186
Đống Đa,Nhà riêng,45.0,5.7,5,3,2,24,1,126.66666666666667
Tây Hồ,Căn hộ chung cư,39.0,2.5,1,1,0,21,1,64.1025641025641
Bắc Từ Liêm,Căn hộ chung cư,139.0,4.0,3,2,0,1,1,28.776978417266186
Nam Từ Liêm,Căn hộ chung cư,100.0,6.56,3,2,0,12,1,65.6
Gia Lâm,Căn hộ chung cư,66.0,3.1,2,2,0,4,1,46.96969696969697
Hà Đông,Căn hộ chung cư,125.0,5.4,3,2,0,9,1,43.2
Đống Đa,Nhà riêng,38.0,6.8,4,3,2,24,1,178.94736842105263
Nam Từ Liêm,Nhà riêng,90.0,26.5,24,24,2,12,2,294.44444444444446
Hà Đông,Căn hộ chung cư,134.0,6.0,3,2,0,9,1,44.776119402985074
Hoàng Mai,Căn hộ chung cư,76.0,2.68,3,2,0,8,1,35.26315789473684
Đống Đa,Nhà riêng,35.0,4.7,2,2,2,24,1,134.28571428571428
Ba Đình,Nhà riêng,37.0,5.6,3,3,2,0,1,151.35135135135135
Nam Từ Liêm,Căn hộ chung cư,123.0,7.3,3,2,0,12,1,59.34959349593496
Hai Bà Trưng,Căn hộ chung cư,125.0,8.0,3,2,0,5,1,64.0
Cầu Giấy,Nhà riêng,40.0,13.8,6,3,2,3,2,345.0
Hoàng Mai,Căn hộ chung cư,68.0,2.1,2,1,0,8,1,30.88235294117647
Cầu Giấy,Căn hộ chung cư,114.0,7.8,2,2,0,3,1,68.42105263157895
Cầu Giấy,Căn hộ chung cư,116.0,8.55,3,2,0,3,1,73.70689655172414
Đống Đa,Nhà riêng,82.0,25.8,6,6,2,24,2,314.6341463414634
Ba Đình,Nhà mặt phố,46.0,16.1,7,4,1,0,2,350.00000000000006
Hà Đông,Căn hộ chung cư,128.0,5.0,3,2,0,9,1,39.0625
Thanh Xuân,Căn hộ chung cư,103.0,5.5,3,2,0,18,1,53.398058252427184
Hai Bà Trưng,Nhà riêng,33.0,4.85,3,4,2,5,1,146.96969696969697
Nam Từ Liêm,Căn hộ chung cư,54.0,2.646,2,2,0,12,1,49.0
Hà Đông,Nhà riêng,34.0,2.55,3,3,2,9,1,75.0
Tây Hồ,Nhà mặt phố,101.0,39.0,10,10,1,21,2,386.13861386138615
Nam Từ Liêm,Căn hộ chung cư,54.0,2.646,2,2,0,12,1,49.0
Hà Đông,Nhà riêng,33.0,6.2,3,4,2,9,1,187.87878787878788
Nam Từ Liêm,Căn hộ chung cư,73.0,4.95,2,2,0,12,1,67.8082191780822
Hoài Đức,Căn hộ chung cư,70.0,2.45,2,2,0,6,1,35.0
Long Biên,Nhà mặt phố,120.0,37.0,10,10,1,10,2,308.3333333333333
Quốc Oai,Nhà riêng,45.0,1.76,3,3,2,13,0,39.111111111111114
Bắc Từ Liêm,Nhà riêng,40.0,7.2,3,3,2,1,1,180.0
Hoàng Mai,Nhà riêng,30.0,3.89,3,4,2,8,1,129.66666666666666
Thanh Xuân,Nhà riêng,90.0,13.9,26,27,2,18,2,154.44444444444446
Thanh Xuân,Căn hộ chung cư,98.0,4.214,2,2,0,18,1,43.0
Đống Đa,Căn hộ chung cư,37.0,2.7,1,1,0,24,1,72.97297297297297
Hoàng Mai,Nhà riêng,33.0,4.4,4,3,2,8,1,133.33333333333334
Đống Đa,Nhà riêng,58.0,14.5,14,16,2,24,2,250.0
Thanh Xuân,Nhà riêng,70.0,12.67,4,4,2,18,2,181.0
Quốc Oai,Nhà riêng,41.0,2.2,3,2,2,13,1,53.65853658536585
Hà Đông,Căn hộ chung cư,92.0,4.72,2,2,0,9,1,51.30434782608695
Hoài Đức,Căn hộ chung cư,68.0,2.65,2,2,0,6,1,38.970588235294116
Hoàng Mai,Căn hộ chung cư,83.0,2.75,3,2,0,8,1,33.13253012048193
Thanh Trì,Nhà riêng,45.0,6.95,13,13,2,17,1,154.44444444444446
Đống Đa,Nhà mặt phố,88.0,29.5,6,5,1,24,2,335.22727272727275
Thanh Xuân,Nhà mặt phố,89.0,29.3,8,4,1,18,2,329.2134831460674
Cầu Giấy,Nhà riêng,50.0,19.6,5,7,2,3,2,392.0
Thanh Xuân,Căn hộ chung cư,104.0,8.5,3,2,0,18,1,81.73076923076923
Tây Hồ,Căn hộ chung cư,128.0,10.6,3,2,0,21,2,82.8125
Long Biên,Nhà riêng,68.0,7.48,6,3,2,10,1,110.0
Tây Hồ,Căn hộ chung cư,34.0,2.3,1,1,0,21,1,67.6470588235294
Nam Từ Liêm,Căn hộ chung cư,54.0,2.808,3,2,0,12,1,52.0
Ba Đình,Căn hộ chung cư,120.0,8.6,3,2,0,0,1,71.66666666666667
Đống Đa,Căn hộ chung cư,86.0,6.4,2,2,0,24,1,74.4186046511628
Cầu Giấy,Nhà mặt phố,520.0,250.0,105,110,1,3,3,480.7692307692308
Long Biên,Nhà riêng,82.0,18.4,6,8,2,10,2,224.390243902439
Thanh Xuân,Căn hộ chung cư,104.0,4.472,3,2,0,18,1,43.0
Cầu Giấy,Căn hộ chung cư,112.0,5.2,3,2,0,3,1,46.42857142857143
Thanh Xuân,Căn hộ chung cư,74.0,5.6,2,2,0,18,1,75.67567567567568
Thanh Xuân,Căn hộ chung cư,161.0,12.0,4,3,0,18,2,74.53416149068323
Thanh Xuân,Căn hộ chung cư,71.0,4.9,2,2,0,18,1,69.01408450704226
Bắc Từ Liêm,Căn hộ chung cư,109.0,3.98,3,2,0,1,1,36.51376146788991
Nam Từ Liêm,Căn hộ chung cư,70.0,3.8,2,2,0,12,1,54.285714285714285
Hà Đông,Căn hộ chung cư,74.0,3.5,2,2,0,9,1,47.2972972972973
Thanh Xuân,Căn hộ chung cư,110.0,4.0,3,2,0,18,1,36.36363636363637
Hoàng Mai,Nhà riêng,55.0,7.96,6,4,2,8,1,144.72727272727272
Hoàng Mai,Nhà riêng,48.0,4.35,4,3,2,8,1,90.625
Hoàng Mai,Nhà riêng,45.0,5.25,4,3,2,8,1,116.66666666666667
Thanh Xuân,Nhà riêng,86.0,16.8,24,24,2,18,2,195.34883720930233
Thanh Xuân,Căn hộ chung cư,82.0,4.1,2,2,0,18,1,50.0
Hoàng Mai,Nhà riêng,59.0,6.8,3,2,2,8,1,115.2542372881356
Cầu Giấy,Căn hộ chung cư,138.0,7.176,3,2,0,3,1,52.0
Long Biên,Nhà riêng,38.0,4.1,4,3,2,10,1,107.89473684210526
Bắc Từ Liêm,Nhà riêng,132.0,18.0,35,35,2,1,2,136.36363636363637
Nam Từ Liêm,Căn hộ chung cư,26.0,1.8,1,1,0,12,0,69.23076923076923
Bắc Từ Liêm,Căn hộ chung cư,78.0,4.0,2,2,0,1,1,51.282051282051285
Cầu Giấy,Căn hộ chung cư,63.0,4.662,2,1,0,3,1,74.0
Cầu Giấy,Nhà mặt phố,46.0,25.0,8,8,1,3,2,543.4782608695652
Long Biên,Nhà riêng,30.0,3.5,3,4,2,10,1,116.66666666666667
Cầu Giấy,Căn hộ chung cư,77.0,5.85,2,2,0,3,1,75.97402597402598
Long Biên,Nhà mặt phố,84.0,18.9,1,1,1,10,2,225.0
Long Biên,Nhà riêng,91.0,14.0,5,6,2,10,2,153.84615384615384
Đống Đa,Nhà riêng,65.0,18.0,20,20,2,24,2,276.9230769230769
Ba Đình,Nhà mặt phố,47.0,29.5,3,3,1,0,2,627.6595744680851
Đống Đa,Nhà mặt phố,49.0,32.5,5,5,1,24,2,663.265306122449
Bắc Từ Liêm,Căn hộ chung cư,47.0,2.256,2,2,0,1,1,48.0
Bắc Từ Liêm,Căn hộ chung cư,135.0,8.2,3,2,0,1,1,60.74074074074074
Hoàn Kiếm,Nhà riêng,70.0,29.0,6,5,2,7,2,414.2857142857143
Nam Từ Liêm,Căn hộ chung cư,62.0,3.5,2,2,0,12,1,56.45161290322581
Nam Từ Liêm,Căn hộ chung cư,43.0,3.01,1,1,0,12,1,70.0
Thanh Xuân,Căn hộ chung cư,90.0,5.67,2,2,0,18,1,63.0
Thanh Xuân,Nhà mặt phố,75.0,21.0,2,2,1,18,2,280.0
Bắc Từ Liêm,Căn hộ chung cư,83.0,5.3,3,2,0,1,1,63.855421686746986
Hoàng Mai,Căn hộ chung cư,78.0,4.29,3,2,0,8,1,55.0
Cầu Giấy,Căn hộ chung cư,120.0,9.0,3,2,0,3,1,75.0
Hà Đông,Căn hộ chung cư,102.0,3.3048,3,2,0,9,1,32.4
Thanh Xuân,Căn hộ chung cư,82.0,4.0,2,2,0,18,1,48.78048780487805
Thanh Xuân,Căn hộ chung cư,116.0,5.25,3,2,0,18,1,45.258620689655174
Đống Đa,Nhà mặt phố,135.0,35.0,5,3,1,24,2,259.25925925925924
Hoàng Mai,Nhà riêng,100.0,21.0,25,30,2,8,2,210.0
Hoàng Mai,Căn hộ chung cư,72.0,3.15,2,2,0,8,1,43.75
Cầu Giấy,Căn hộ chung cư,116.0,8.4,3,2,0,3,1,72.41379310344827
Nam Từ Liêm,Căn hộ chung cư,84.0,5.4,3,2,0,12,1,64.28571428571429
Hai Bà Trưng,Căn hộ chung cư,52.0,2.85,1,1,0,5,1,54.80769230769231
Hà Đông,Căn hộ chung cư,55.0,2.4,2,2,0,9,1,43.63636363636363
Hà Đông,Căn hộ chung cư,96.0,3.3,2,2,0,9,1,34.375
Nam Từ Liêm,Căn hộ chung cư,105.0,5.2,3,2,0,12,1,49.523809523809526
Hai Bà Trưng,Nhà riêng,85.0,18.5,4,4,2,5,2,217.64705882352942
Cầu Giấy,Căn hộ chung cư,98.0,5.46154,2,2,0,3,1,55.73
Đống Đa,Nhà riêng,52.0,8.7,5,5,2,24,1,167.30769230769232
Long Biên,Căn hộ chung cư,73.0,3.3,2,2,0,10,1,45.205479452054796
Hoài Đức,Căn hộ chung cư,88.0,4.224,2,2,0,6,1,48.0
Long Biên,Nhà riêng,32.0,4.0,2,3,2,10,1,125.0
Hà Đông,Nhà riêng,60.0,7.3,4,4,2,9,1,121.66666666666667
Cầu Giấy,Nhà riêng,110.0,21.9,30,30,2,3,2,199.0909090909091
Hoàng Mai,Căn hộ chung cư,76.0,3.4,3,2,0,8,1,44.73684210526316
Hoàn Kiếm,Nhà riêng,42.0,5.1,6,5,2,7,1,121.42857142857143
Nam Từ Liêm,Căn hộ chung cư,104.0,7.6,3,2,0,12,1,73.07692307692308
Đống Đa,Nhà riêng,55.0,9.35,5,6,2,24,1,170.0
Hai Bà Trưng,Nhà riêng,75.0,8.8,4,3,2,5,1,117.33333333333333
Cầu Giấy,Nhà riêng,48.0,7.4,4,3,2,3,1,154.16666666666666
Long Biên,Nhà riêng,43.0,3.86,3,4,2,10,1,89.76744186046511
Cầu Giấy,Nhà riêng,65.0,14.0,5,4,2,3,2,215.3846153846154
Hoài Đức,Căn hộ chung cư,136.0,7.19,4,3,0,6,1,52.86764705882353
Gia Lâm,Căn hộ chung cư,43.0,1.8,2,1,0,4,0,41.86046511627907
Hà Đông,Căn hộ chung cư,102.0,5.3,2,2,0,9,1,51.96078431372549
Thanh Xuân,Căn hộ chung cư,94.0,7.1,3,2,0,18,1,75.53191489361703
Cầu Giấy,Nhà riêng,70.0,25.0,5,8,2,3,2,357.14285714285717
Cầu Giấy,Nhà mặt phố,85.0,24.8,5,5,1,3,2,291.7647058823529
Nam Từ Liêm,Căn hộ chung cư,64.0,3.3,2,2,0,12,1,51.5625
Tây Hồ,Nhà mặt phố,55.0,18.5,6,4,1,21,2,336.3636363636364
Long Biên,Nhà riêng,81.0,10.0,4,5,2,10,2,123.45679012345678
Long Biên,Nhà riêng,45.0,5.95,3,4,2,10,1,132.22222222222223
Nam Từ Liêm,Căn hộ chung cư,110.0,4.55,3,2,0,12,1,41.36363636363637
Ba Đình,Nhà riêng,68.0,10.5,5,5,2,0,2,154.41176470588235
Hà Đông,Căn hộ chung cư,70.0,2.57,2,2,0,9,1,36.714285714285715
Bắc Từ Liêm,Căn hộ chung cư,83.0,5.38,3,2,0,1,1,64.81927710843374
Đống Đa,Nhà mặt phố,75.0,27.0,7,4,1,24,2,360.0
Cầu Giấy,Nhà riêng,50.0,10.0,11,11,2,3,2,200.0
Cầu Giấy,Căn hộ chung cư,157.0,11.775,3,2,0,3,2,75.0
Tây Hồ,Căn hộ chung cư,111.0,12.5,3,3,0,21,2,112.61261261261261
Nam Từ Liêm,Căn hộ chung cư,54.0,3.1,2,1,0,12,1,57.407407407407405
Hai Bà Trưng,Nhà riêng,35.0,4.95,3,4,2,5,1,141.42857142857142
Cầu Giấy,Nhà riêng,49.0,14.6,6,7,2,3,2,297.9591836734694
Gia Lâm,Căn hộ chung cư,66.0,3.14,2,2,0,4,1,47.57575757575758
Nam Từ Liêm,Căn hộ chung cư,159.0,5.9,4,3,0,12,1,37.106918238993714
Bắc Từ Liêm,Nhà riêng,71.0,12.8,15,15,2,1,2,180.28169014084506
Hoài Đức,Nhà riêng,57.0,4.35,2,2,2,6,1,76.3157894736842
Hoàng Mai,Căn hộ chung cư,73.0,3.1,2,2,0,8,1,42.465753424657535
Tây Hồ,Nhà mặt phố,190.0,46.0,4,4,1,21,2,242.10526315789474
Cầu Giấy,Nhà mặt phố,60.0,21.0,4,4,1,3,2,350.0
Tây Hồ,Căn hộ chung cư,101.0,8.0,2,2,0,21,1,79.20792079207921
Hà Đông,Căn hộ chung cư,70.0,2.28,2,2,0,9,1,32.57142857142857
Cầu Giấy,Căn hộ chung cư,120.0,8.5,3,2,0,3,1,70.83333333333333
Nam Từ Liêm,Nhà mặt phố,100.0,65.0,4,10,1,12,3,650.0
Hà Đông,Nhà mặt phố,125.0,38.0,8,8,1,9,2,304.0
Thanh Xuân,Nhà riêng,44.0,9.5,4,5,2,18,1,215.9090909090909
Long Biên,Nhà riêng,45.0,9.78,3,4,2,10,1,217.33333333333334
Nam Từ Liêm,Nhà riêng,60.0,6.6,4,4,2,12,1,110.0
Hai Bà Trưng,Nhà riêng,32.0,4.49,3,4,2,5,1,140.3125
Đống Đa,Nhà riêng,50.0,17.8,5,4,2,24,2,356.0
Ba Đình,Nhà riêng,42.0,6.9,9,9,2,0,1,164.28571428571428
Long Biên,Nhà mặt phố,83.0,33.5,6,6,1,10,2,403.6144578313253
Cầu Giấy,Căn hộ chung cư,135.0,10.9,3,4,0,3,2,80.74074074074075
Nam Từ Liêm,Căn hộ chung cư,61.0,3.6,2,2,0,12,1,59.01639344262295
Thanh Xuân,Căn hộ chung cư,133.0,7.6,3,2,0,18,1,57.142857142857146
Ba Đình,Nhà riêng,23.0,4.8,3,4,2,0,1,208.69565217391303
Nam Từ Liêm,Căn hộ chung cư,132.0,6.2,3,3,0,12,1,46.96969696969697
Gia Lâm,Căn hộ chung cư,54.0,2.35,1,1,0,4,1,43.51851851851852
Nam Từ Liêm,Căn hộ chung cư,84.0,5.9,2,2,0,12,1,70.23809523809524
Đống Đa,Nhà riêng,75.0,18.0,22,23,2,24,2,240.0
Gia Lâm,Căn hộ chung cư,76.0,3.65,2,2,0,4,1,48.026315789473685
Ba Đình,Nhà riêng,48.0,8.48,4,6,2,0,1,176.66666666666666
Thanh Xuân,Căn hộ chung cư,90.0,4.5,3,2,0,18,1,50.0
Nam Từ Liêm,Căn hộ chung cư,54.0,2.8,2,2,0,12,1,51.851851851851855
Đống Đa,Nhà riêng,44.0,13.5,4,4,2,24,2,306.8181818181818
Thanh Xuân,Căn hộ chung cư,120.0,9.94,3,2,0,18,1,82.83333333333333
Nam Từ Liêm,Căn hộ chung cư,72.0,3.9,2,2,0,12,1,54.166666666666664
Hoàng Mai,Căn hộ chung cư,86.0,4.2,2,2,0,8,1,48.83720930232558
Nam Từ Liêm,Căn hộ chung cư,70.0,4.2,2,2,0,12,1,60.0
Bắc Từ Liêm,Căn hộ chung cư,73.0,3.75,2,2,0,1,1,51.36986301369863
Hoàn Kiếm,Nhà mặt phố,42.0,9.5,5,3,1,7,1,226.1904761904762
