Diện tích,Mức giá,Hướng nhà,Hướng ban công,Số phòng ngủ,Số toilet,Pháp lý,Nội thất,Quận,Thành phố,Loại,Địa chỉ,Ngày đăng,Mặt tiền,Số tầng,Đường vào
59 m²,"2,8 tỷ",Đông - Nam,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Sola Park,"Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",03/05/2024,,,
55 m²,Thỏa thuận,Đông - Nam,Tây - Bắc,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ Bàn giao đầy đủ nội thất cao cấp liền tường.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Sola Park,"Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",05/05/2024,,,
300 m²,7 tỷ,Đông - Nam,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Thường Tín,Nhà riêng tại đường Liên Thôn,"Đường Liên Thôn, Xã Hồng Vân, Thường Tín, Hà Nội",01/05/2024,10 m,2 tầng,5 m
50 m²,21 tỷ,,,6 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà mặt phố tại đường Yên Hòa,"Đường Yên Hòa, Phường Yên Hòa, Cầu Giấy, Hà Nội",04/05/2024,7 m,7 tầng,10 m
52 m²,"3,17 tỷ",Đông - Bắc,Đông - Bắc,2 phòng,1 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Lumiere EverGreen,"Dự án Lumiere EverGreen Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",04/05/2024,,,
67 m²,"2,3 tỷ",,,,,Sổ đỏ/ Sổ hồng.,Đầy đủ,Hà Nội,Gia Lâm,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,"Dự án Vinhomes Ocean Park Gia Lâm, Đường Đa Tốn, Xã Dương Xá, Gia Lâm, Hà Nội",26/04/2024,,,
77 m²,"4,1 tỷ",,,3 phòng,3 phòng,Hợp đồng mua bán,"Cơ bản Bàn giao nội thất gắn tường cao cấp: Sàn gỗ, trần thạch cao, thiết bị vệ sinh, thiết bị chiếu sáng.",Hà Nội,Long Biên,Căn hộ chung cư tại Khai Sơn City,"Dự án Khai Sơn City, Phường Ngọc Thụy, Long Biên, Hà Nội",03/05/2024,,,
63 m²,"4,3 tỷ",,,2 phòng,1 phòng,,,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Times City,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",02/05/2024,,,
"89,53 m²","4,1 tỷ",Đông - Nam,Tây - Bắc,2 phòng,,Hợp đồng mua bán,Cơ bản,Hà Nội,Long Biên,Căn hộ chung cư tại Khai Sơn City,"Dự án Khai Sơn City, Phường Thượng Thanh, Long Biên, Hà Nội",03/05/2024,,,
60 m²,Thỏa thuận,Đông - Nam,Tây - Bắc,2 phòng,1 phòng,Hợp đồng mua bán,Cơ bản,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vinhomes D'Capitale,"Dự án Vinhomes D'Capitale, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",02/05/2024,,,
72 m²,"5,1 tỷ",,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Vinhomes D'Capitale,"Vinhomes D'Capitale, 119, Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội",03/05/2024,,,
"70,7 m²","3,64 tỷ",,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",03/05/2024,,,
63 m²,3 tỷ,,Đông - Nam,2 phòng,2 phòng,Sổ đỏ lâu dài,Full nội thất cao cấp,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Miami,"Dự án The Miami, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",02/05/2024,,,
70 m²,Thỏa thuận,Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Canopy Residences - Vinhomes Smart City,"Dự án The Canopy Residences - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",02/05/2024,,,
66 m²,"3,5 tỷ",Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Bàn giao nội thất tối ưu giúp khách hàng tiết kiệm tối ưu khi nhận nhà,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Canopy Residences - Vinhomes Smart City,"Dự án The Canopy Residences - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",02/05/2024,,,
93 m²,"4,2 tỷ",Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Goldmark City,"Goldmark City, 136, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",02/05/2024,,,
80 m²,"5,8 tỷ",,,2 phòng,,,,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Vinhomes Times City - Park Hill,"Dự án Times City - Park Hill, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",02/05/2024,,,
94 m²,5 tỷ,Nam,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Nội thất đầy đủ,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Sunshine Garden,"Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",02/05/2024,,,
95 m²,"5,7 tỷ",,Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Khu Ngoại Giao Đoàn,"Dự án Khu Ngoại Giao Đoàn, Đường Xuân Đỉnh, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội",02/05/2024,,,
42 m²,Thỏa thuận,,,1 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Canopy Residences - Vinhomes Smart City,"Dự án The Canopy Residences - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",02/05/2024,,,
110 m²,"5,1 tỷ",Đông - Bắc,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Goldmark City,"Goldmark City, 136, Đường Hồ Tùng Mậu, Phường Phú Diễn, Bắc Từ Liêm, Hà Nội",30/04/2024,,,
73 m²,Thỏa thuận,Đông - Nam,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Canopy Residences - Vinhomes Smart City,"Dự án The Canopy Residences - Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",30/04/2024,,,
65 m²,"3,2 tỷ",,,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Gia Lâm,Căn hộ chung cư tại Masteri Waterfront,"Dự án Masteri Water Front, Đường Quốc Lộ 5B, Xã Đa Tốn, Gia Lâm, Hà Nội",30/04/2024,,,
65 m²,Thỏa thuận,Bắc,Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ nội thất liền tường cao cấp,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Sola Park,"Dự án Imperia Sola Park, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",27/04/2024,,,
161 m²,"72,6 triệu/m²",Đông - Bắc,Đông - Nam,4 phòng,3 phòng,Hợp đồng mua bán,Không nội thất,Hà Nội,Thanh Xuân,Căn hộ chung cư tại BRG Diamond Residence,"Dự án BRG Diamond Residence, 25 Đường Lê Văn Lương, Phường Nhân Chính, Thanh Xuân, Hà Nội",25/04/2024,,,
81 m²,"5,2 tỷ",Đông - Nam,Tây - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,"Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",22/04/2024,,,
115 m²,Thỏa thuận,,,3 phòng,,,Không nội thất,Hà Nội,Hoài Đức,Căn hộ chung cư tại Chung cư The Wisteria,"Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội.",26/04/2024,,,
114 m²,"6,3 tỷ",Tây - Bắc,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại An Bình City,"An Bình City, 232 - 234, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",02/05/2024,,,
104 m²,53 triệu/m²,Đông - Nam,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại Sunshine City,"Dự án Sunshine City, Phường Đông Ngạc, Bắc Từ Liêm, Hà Nội",05/05/2024,,,
56 m²,"2,45 tỷ",,,2 phòng,1 phòng,Sổ đỏ/ Sổ hồng.,Cơ bản full đồ.,Hà Nội,Long Biên,Căn hộ chung cư tại Le Grand Jardin Sài Đồng,"Dự án Le Grand Jardin Sài Đồng, Đường Huỳnh Văn Nghệ, Phường Sài Đồng, Long Biên, Hà Nội",07/05/2024,,,
45 m²,"5,2 tỷ",,,3 phòng,3 phòng,Sổ đỏ,,Hà Nội,Đống Đa,Nhà riêng tại phố Láng Hạ,"Phố Láng Hạ, Phường Láng Hạ, Đống Đa, Hà Nội",07/05/2024,"3,9 m",4 tầng,
52 m²,"46,8 tỷ",,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Nhà mặt phố tại đường Phan Đình Phùng,"Đường Phan Đình Phùng, Phường Quán Thánh, Ba Đình, Hà Nội",07/05/2024,,4 tầng,
50 m²,34 tỷ,,,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Nhà mặt phố tại phố Chùa Láng,"Phố Chùa Láng, Phường Láng Hạ, Đống Đa, Hà Nội",06/05/2024,"5,8 m",6 tầng,12 m
90 m²,55 tỷ,,,6 phòng,5 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Đống Đa,Nhà mặt phố tại đường Huỳnh Thúc Kháng,"Đường Huỳnh Thúc Kháng, Phường Láng Thượng, Đống Đa, Hà Nội",06/05/2024,24 m,5 tầng,32 m
82 m²,"20,8 tỷ",,,4 phòng,,Sổ đỏ/ Sổ hồng.,Đầy đủ.,Hà Nội,Long Biên,Nhà riêng tại đường Bồ Đề,"Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội",06/05/2024,,8 tầng,
108 m²,Thỏa thuận,,,3 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Hà Nội,Hoài Đức,Căn hộ chung cư tại Chung cư The Wisteria,"Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",02/05/2024,,,
"138,6 m²",Thỏa thuận,Tây - Bắc,Đông - Nam,3 phòng,2 phòng,Hợp đồng mua bán,Đầy đủ,Hà Nội,Hoài Đức,Căn hộ chung cư tại Chung cư The Wisteria,"Dự án The Wisteria, Đường 32, Xã Di Trạch, Hoài Đức, Hà Nội",04/05/2024,,,
41 m²,"6,5 tỷ",,,4 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Đặng Tiến Đông,"Đường Đặng Tiến Đông, Phường Trung Liệt, Đống Đa, Hà Nội",02/05/2024,"5,6 m",6 tầng,3 m
50 m²,"14,5 tỷ",Đông - Nam,,5 phòng,6 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Cầu Giấy,Nhà riêng tại đường Nguyễn Chánh,"Đường Nguyễn Chánh, Phường Trung Hòa, Cầu Giấy, Hà Nội",06/05/2024,4 m,5 tầng,5 m
140 m²,"7,6 tỷ",,Đông,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Hà Nội Paragon,"Dự án Hà Nội Paragon, Đường Duy Tân, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội",06/05/2024,,,
80 m²,"8,5 tỷ",Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Ba Đình,Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai,"Dự án Vinhomes Metropolis - Liễu Giai, 29 Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội",06/05/2024,,,
131 m²,Thỏa thuận,,,3 phòng,2 phòng,,,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",06/05/2024,,,
110 m²,"6,2 tỷ",,,2 phòng,2 phòng,Đã có sổ đỏ chính chủ.,Cơ bản hoặc sửa lại full nội thất tùy từng nhà.,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Royal City,"Royal City, 72A, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội",06/05/2024,,,
"78,09 m²","7,3 tỷ",Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Đã có sổ đỏ chính chủ.,"- Nội thất hoàn thiện của chủ đầu tư: Sàn gỗ, trần thạch cao, hệ thống chiếu sáng, hệ thống bếp cao cấp, điều hòa âm trần Mitsubishi, tủ âm tường, sofa, giường, bàn ăn, tivi, tủ lạnh.",Hà Nội,Ba Đình,Căn hộ chung cư tại Vinhomes Metropolis - Liễu Giai,"Dự án Vinhomes Metropolis - Liễu Giai, Phố Liễu Giai, Phường Ngọc Khánh, Ba Đình, Hà Nội",06/05/2024,,,
120 m²,"5,45 tỷ",Đông - Nam,Đông - Bắc,3 phòng,3 phòng,Hợp đồng mua bán.,Cơ bản,Hà Nội,Long Biên,Căn hộ chung cư tại Khai Sơn City,"Dự án Khai Sơn City, Phường Ngọc Thụy, Long Biên, Hà Nội",06/05/2024,,,
"81,74 m²","3,15 tỷ",Đông - Nam,Tây - Bắc,2 phòng,2 phòng,,,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Imperia Sky Garden,"Imperia Sky Garden, 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",28/04/2024,,,
120 m²,Thỏa thuận,,,,,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Lumi Hanoi,"Dự án Lumi Hanoi, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",05/05/2024,,,
48 m²,"3,25 tỷ",Tây - Nam,Đông - Bắc,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Trì,Nhà riêng tại đường Ngũ Hiệp,"Đường Ngũ Hiệp, Xã Liên Ninh, Thanh Trì, Hà Nội",06/05/2024,"4,25 m",4 tầng,3 m
39 m²,2 tỷ,,,1 phòng,1 phòng,,Nội thất lung linh.,Hà Nội,Tây Hồ,Căn hộ chung cư tại D’. El Dorado,"D’. El Dorado, số 659A, Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội",06/05/2024,,,
91 m²,Thỏa thuận,,,3 phòng,,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Bắc Từ Liêm,Căn hộ chung cư tại An Bình City,"Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội",06/05/2024,,,
"105,21 m²",5 tỷ,Tây - Nam,Đông - Bắc,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Imperia Sky Garden,"Imperia Sky Garden, 423, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",06/05/2024,,,
67 m²,Thỏa thuận,,Đông - Nam,2 phòng,2 phòng,Hợp đồng mua bán,Cơ bản,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Canopy Residences - Vinhomes Smart City,"Dự án The Canopy Residences Vinhomes Smart City, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội",06/05/2024,,,
110 m²,"7,5 tỷ",Tây,Đông - Nam,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Times City,"Dự án Times City, Đường Minh Khai, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",06/05/2024,,,
38 m²,"9,5 tỷ",,,4 phòng,3 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Đống Đa,Nhà riêng tại đường Võ Văn Dũng,"Đường Võ Văn Dũng, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",06/05/2024,,4 tầng,7 m
90 m²,"16,5 tỷ",,,4 phòng,3 phòng,Sổ đỏ.,,Hà Nội,Long Biên,Nhà riêng tại đường Phúc Lợi,"Đường Phúc Lợi, Phường Phúc Lợi, Long Biên, Hà Nội",06/05/2024,6 m,5 tầng,8 m
66 m²,"2,15 tỷ",Tây - Bắc,Đông - Nam,2 phòng,2 phòng,Sổ đỏ/ Sổ hồng,Cơ bản,Hà Nội,Thanh Trì,Căn hộ chung cư tại Chung cư Đại Thanh,"Dự án Chung cư Đại Thanh, Đường Phan Trọng Tuệ, Xã Tả Thanh Oai, Thanh Trì, Hà Nội",06/05/2024,,,
38 m²,"14,2 tỷ",,,3 phòng,4 phòng,Sổ đỏ/ Sổ hồng,Đầy đủ,Hà Nội,Tây Hồ,Nhà riêng tại đường Trích Sài,"Đường Trích Sài, Phường Bưởi, Tây Hồ, Hà Nội",06/05/2024,"3,6 m",5 tầng,6 m
125 m²,Thỏa thuận,,,3 phòng,2 phòng,Sổ đỏ/ Sổ hồng,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Matrix One,"Dự án The Matrix One, Đường Lê Quang Đạo, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",06/05/2024,,,
128 m²,"5,2 tỷ",,,3 phòng,2 phòng,,Đầy đủ,Hà Nội,Hai Bà Trưng,Căn hộ chung cư tại Sunshine Garden,"Dự án Sunshine Garden, Đường Dương Văn Bé, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội",06/05/2024,,,
"61,5 m²","3,75 tỷ",,,2 phòng,2 phòng,,,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Mon City,"Dự án Mon City - Hải Đăng City, Đường Hàm Nghi, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội",06/05/2024,,,
40 m²,8 tỷ,,,,,,,Hà Nội,Đống Đa,Nhà riêng tại phường Khâm Thiên,"Phường Khâm Thiên, Đống Đa, Hà Nội",06/05/2024,,,
54 m²,"3,6 tỷ",Đông - Nam,Tây - Bắc,2 phòng,2 phòng,Hợp đồng mua bán,"Trần, tường, sàn, thiết bị WC cao cấp, điều hòa, tủ bếp, thiết bị bếp, tủ bếp, tủ quần áo...",Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Lumi Hanoi,"Dự án Lumi Hanoi, Đường Đại lộ Thăng Long, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.",03/05/2024,,,
111 m²,9 tỷ,Đông - Bắc,Tây - Nam,3 phòng,2 phòng,Nhà đã có sổ hồng.,Đầy đủ nội thất.,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Skylake,"Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.",02/05/2024,,,
